File Name,Expected Code Smells
ACDIBE1,['Alternative Classes with Different Interfaces']
ACDIGE1,[]
ACDIBE2,"['Long Method', 'Alternative Classes with Different Interfaces', 'Primitive Obsession']"
ACDIGE2,"['Long Method', 'Primitive Obsession']"
ACDIBE3,"['Alternative Classes with Different Interfaces', 'Primitive Obsession']"
ACDIGE3,[]
CBE1,['Comments']
CGE1,[]
CBE2,['Comments']
CGE2,[]
CBE3,['Comments']
CBE4,['Comments']
CGE4,[]
CBE5,[]
CGE5,[]
CBE6,['Comments']
CGE6,[]
CBE7,['Comments']
CGE7,[]
CBE8,['Comments']
CGE8,[]
DCLSBE1,['Data Class']
DCLSGE1,[]
DCLSBE2,['Data Class']
DCLSGE2,[]
DCLSBE3,['Data Class']
DCLSGE3,[]
DCBE1,"['Data Clumps', 'Long Parameter List', 'Large Class']"
DCGE1,[]
DCBE2,['Data Clumps']
DCGE2,[]
DCBE3,"['Data Clumps', 'Primitive Obsession']"
DCBE4,"['Data Clumps', 'Primitive Obsession', 'Long Parameter List']"
DCGE4,"['Primitive Obsession', 'Feature Envy', 'Long Parameter List']"
DCBE5,"['Data Clumps', 'Long Parameter List']"
DCGE5,[]
DVCHBE1,['Divergent Change']
DVCHGE1,[]
DVCHBE2,"['Divergent Change', 'Switch Statements', 'Long Method', 'Switch Statements']"
DVCHGE2,[]
DVCHBE3,"['Divergent Change', 'Primitive Obsession']"
DVCHGE3,['Primitive Obsession']
DUPCBE1,[]
DUPCGE1,[]
DUPCBE2,[]
DUPCGE2,[]
DUPCBE3,[]
DUPCGE3,[]
FEBE1,"['Feature Envy', 'Data Class']"
FEGE1,[]
FEBE2,"['Feature Envy', 'Long Method']"
FEGE2,['Long Method']
FEBE3,['Feature Envy']
FEGE3,[]
IIBE1,['Inappropriate Intimacy']
IIGE1,[]
IIBE2,['Inappropriate Intimacy']
IIGE2,[]
IIBE3,['Inappropriate Intimacy']
IIGE3,[]
LCBE1,"['Large Class', 'Long Parameter List']"
LCGE1,[]
LCBE2,['Large Class']
LCGE2,[]
LCBE3,"['Large Class', 'Primitive Obsession', 'Long Parameter List']"
LCGE3,"['Primitive Obsession', 'Long Parameter List']"
LCBE4,['Large Class']
LCGE4,[]
LZCBE1,['Lazy Class']
LZCGE1,[]
LZCBE2,['Lazy Class']
LZCGE2,[]
LZCBE3,"['Lazy Class', 'Primitive Obsession']"
LZCBE4,"['Lazy Class', 'Long Parameter List']"
LZCGE4,['Long Parameter List']
LZCBE5,['Lazy Class']
LZCGE5,[]
LMBE1,"['Long Method', 'Switch Statements']"
LMGE1,[]
LMBE2,['Long Method']
LMGE2,[]
LMBE3,"['Long Method', 'Primitive Obsession']"
LMGE3,['Primitive Obsession']
LMBE4,['Long Method']
LMGE4,[]
LPLBE1,['Long Parameter List']
LPLBE2,['Long Parameter List']
LPLGE1,[]
LPLGE2,[]
LPLBE3,['Long Parameter List']
LPLBE4,"['Long Parameter List', 'Switch Statements']"
LPLBE5,['Long Parameter List']
LPLGE3,[]
LPLGE4,['Switch Statements']
LPLGE5,[]
LPLBE6,['Long Parameter List']
LPLGE6,['Feature Envy']
MCBE1,['Message Chains']
MCBE2,['Message Chains']
MCGE1,[]
MCGE2,[]
MCBE3,"['Message Chains', 'Primitive Obsession']"
MCGE3,['Primitive Obsession']
MMBE1,['Middle Man']
MMBE2,"['Middle Man', 'Feature Envy']"
MMGE1,[]
MMGE2,[]
MMIE1,['Middle Man']
PIHBE1,['Parallel Inheritance Hierarchies']
PIHBE2,['Parallel Inheritance Hierarchies']
PIHGE1,[]
PIHGE2,[]
PIHBE3,['Parallel Inheritance Hierarchies']
PIHGE3,[]
POBE1,['Primitive Obsession']
POBE2,"['Primitive Obsession', 'Switch Statements']"
POGE1,['Data Class']
POGE2,[]
POBE3,['Primitive Obsession']
POBE4,['Primitive Obsession']
POGE3,['Primitive Obsession']
POGE4,[]
POBE5,['Primitive Obsession']
RBBE1,"['Refused Bequest', 'Temporary Field']"
RBBE2,['Refused Bequest']
RBGE1,['Temporary Field']
RGGE2,[]
RBBE3,"['Refused Bequest', 'Long Parameter List']"
RBBE4,['Refused Bequest']
RBGE3,"['Long Parameter List', 'Divergent Change']"
RBGE4,[]
SSBE1,"['Shotgun Surgery', 'Switch Statements']"
SSBE2,['Shotgun Surgery']
SSGE1,"['Switch Statements', 'Middle Man']"
SSGE2,[]
SSBE3,"['Shotgun Surgery', 'Feature Envy', 'Primitive Obsession','Alternative Classes with Different Interfaces']"
SSGE3,"['Primitive Obsession', 'Alternative Classes with Different Interfaces']"
SGBE1,[]
SGBE2,"['Switch Statements', 'Divergent Change']"
SGGE1,[]
SGGE2,"['Switch Statements', 'Divergent Change']"
SGBE3,['Refused Bequest']
SGGE3,[]
SWSBE1,['Switch Statements']
SWSBE2,"['Switch Statements', 'Divergent Change']"
SWSGE1,[]
SWSGE2,[]
SWSBE3,"['Switch Statements', 'Primitive Obsession', 'Long Method']"
SWSBE4,"['Switch Statements', 'Long Method']"
SWSGE3,[]
SWSGE4,[]
TFBE1,[]
TFBE2,"['Temporary Field', 'Divergent Change']"
TFGE1,[]
TFGE2,['Divergent Change']
TFBE3,"['Temporary Field', 'Long Method']"
TFGE3,['Long Method']
